Number of Records,Year_Coal,Value_Coal,Countries
1,01/01/1970,4.585841215,Netherlands
1,01/01/1970,0,North Macedonia
1,01/01/1970,0.854724,Norway
1,01/01/1970,70.18,Poland
1,01/01/1970,0.467,Portugal
1,01/01/1970,7.161705347,Romania
1,01/01/1970,6.57551772,Slovakia
1,01/01/1970,0,Slovenia
1,01/01/1970,9.814,Spain
1,01/01/1970,1.90285,Sweden
1,01/01/1970,0.65252699,Switzerland
1,01/01/1970,4.63,Turkey
1,01/01/1970,0,Ukraine
1,01/01/1970,96.024,United Kingdom
1,01/01/1970,,Azerbaijan
1,01/01/1970,,Belarus
1,01/01/1970,,Kazakhstan
1,01/01/1970,,Russian Federation
1,01/01/1970,,Turkmenistan
1,01/01/1970,312.157669103,USSR
1,01/01/1970,,Uzbekistan
1,01/01/1970,0.343,Iran
1,01/01/1970,0,Iraq
1,01/01/1970,0,Israel
1,01/01/1970,0,Kuwait
1,01/01/1970,0,Oman
1,01/01/1970,0,Qatar
1,01/01/1970,0,Saudi Arabia
1,01/01/1970,0,United Arab Emirates
1,01/01/1970,0.083,Algeria
1,01/01/1970,0.437,Egypt
1,01/01/1970,0.287,Morocco
1,01/01/1970,27.352,South Africa
1,01/01/1970,2.827333153,Eastern Africa
1,01/01/1970,19.922136238,Australia
1,01/01/1970,0,Bangladesh
1,01/01/1970,165.92,China
1,01/01/1970,0.021,China Hong Kong SAR
1,01/01/1970,37.558802817,India
1,01/01/1970,0.087,Indonesia
1,01/01/1970,60.38738,Japan
1,01/01/1970,0.016,Malaysia
1,01/01/1970,1.411,New Zealand
1,01/01/1970,0.923,Pakistan
1,01/01/1970,0.0195972,Philippines
1,01/01/1970,0.003,Singapore
1,01/01/1970,5.629,South Korea
1,01/01/1970,0,Sri Lanka
1,01/01/1970,2.724,Taiwan
1,01/01/1970,0.145,Thailand
1,01/01/1970,1.304784211,Vietnam
1,01/01/1971,16.09,Canada
1,01/01/1971,1.35069743,Mexico
1,01/01/1971,277.661288724,US
1,01/01/1971,0.883709547,Argentina
1,01/01/1971,2.453348268,Brazil
1,01/01/1971,1.239,Chile
1,01/01/1971,1.744307,Colombia
1,01/01/1971,0,Ecuador
1,01/01/1971,0.12193083,Peru
1,01/01/1971,0,Trinidad & Tobago
1,01/01/1971,0.142684,Venezuela
1,01/01/1971,4.405297602,Austria
1,01/01/1971,13.46663391,Belgium
1,01/01/1971,7.917,Bulgaria
1,01/01/1971,0,Croatia
1,01/01/1971,0,Cyprus
1,01/01/1971,38.653,Czech Republic
1,01/01/1971,1.4375,Denmark
1,01/01/1971,0,Estonia
1,01/01/1971,2.027467278,Finland
1,01/01/1971,31.765705435,France
1,01/01/1971,142.681,Germany
1,01/01/1971,3.726,Greece
1,01/01/1971,8.945,Hungary
1,01/01/1971,0.000945813,Iceland
1,01/01/1971,2.052,Ireland
1,01/01/1971,9.535,Italy
1,01/01/1971,0,Latvia
1,01/01/1971,,Lithuania
1,01/01/1971,2.4826,Luxembourg
1,01/01/1971,3.463265501,Netherlands
1,01/01/1971,0,North Macedonia
1,01/01/1971,0.803786,Norway
1,01/01/1971,71.837,Poland
1,01/01/1971,0.432,Portugal
1,01/01/1971,7.564,Romania
1,01/01/1971,6.898,Slovakia
1,01/01/1971,0,Slovenia
1,01/01/1971,9.863,Spain
