Number of Records,Year_Hydro,Value_Hydro,Countries
1,01/01/1970,3.395,Mexico
1,01/01/1970,57.359000239,US
1,01/01/1970,0.343,Argentina
1,01/01/1970,9.005973662,Brazil
1,01/01/1970,0.974,Chile
1,01/01/1970,1.369584157,Colombia
1,01/01/1970,0.126,Ecuador
1,01/01/1970,0.866,Peru
1,01/01/1970,0,Trinidad & Tobago
1,01/01/1970,0.929,Venezuela
1,01/01/1970,4.817328144,Austria
1,01/01/1970,0.055663665,Belgium
1,01/01/1970,0.487,Bulgaria
1,01/01/1970,,Croatia
1,01/01/1970,0,Cyprus
1,01/01/1970,0.387,Czech Republic
1,01/01/1970,0.005,Denmark
1,01/01/1970,,Estonia
1,01/01/1970,2.155098526,Finland
1,01/01/1970,12.825605874,France
1,01/01/1970,3.967434086,Germany
1,01/01/1970,0.661,Greece
1,01/01/1970,0.021,Hungary
1,01/01/1970,0.319704032,Iceland
1,01/01/1970,0.181578947,Ireland
1,01/01/1970,9.135402996,Italy
1,01/01/1970,,Latvia
1,01/01/1970,,Lithuania
1,01/01/1970,0.019508078,Luxembourg
1,01/01/1970,0,Netherlands
1,01/01/1970,,North Macedonia
1,01/01/1970,13.091,Norway
1,01/01/1970,0.400294158,Poland
1,01/01/1970,1.313300448,Portugal
1,01/01/1970,0.626,Romania
1,01/01/1970,0.445,Slovakia
1,01/01/1970,,Slovenia
1,01/01/1970,6.396686564,Spain
1,01/01/1970,9.4,Sweden
1,01/01/1970,6.601038059,Switzerland
1,01/01/1970,0.686247002,Turkey
1,01/01/1970,0,Ukraine
1,01/01/1970,1.026383672,United Kingdom
1,01/01/1970,,Azerbaijan
1,01/01/1970,,Belarus
1,01/01/1970,,Kazakhstan
1,01/01/1970,,Russian Federation
1,01/01/1970,,Turkmenistan
1,01/01/1970,28.991,USSR
1,01/01/1970,,Uzbekistan
1,01/01/1970,0.561,Iran
1,01/01/1970,0.039,Iraq
1,01/01/1970,0,Israel
1,01/01/1970,0,Kuwait
1,01/01/1970,0,Oman
1,01/01/1970,0,Qatar
1,01/01/1970,0,Saudi Arabia
1,01/01/1970,0,United Arab Emirates
1,01/01/1970,0.132,Algeria
